measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra
Ar 420.069 - A,% Concentration,97.0,97.0,,,95.0,98.0,,,95.0,94.0,,,91.0,87.0,,,95.0,101.0,,,92.0,94.0,,,94.0,96.0,,,90.0,89.0,,,100.0,97.0,,,97.0,99.0,,,87.0,90.0,,,101.0,93.0,,,86.0,96.0,,,93.0,97.0,,,89.0,97.0,,,96.0,92.0,,,92.0,94.0
Sc 361.383 - R,% Concentration,103.0,101.0,,,102.0,103.0,,,100.0,100.0,,,103.0,101.0,,,102.0,103.0,,,101.0,98.0,,,101.0,102.0,,,100.0,103.0,,,94.0,92.0,,,98.0,96.0,,,96.0,93.0,,,94.0,95.0,,,92.0,93.0,,,95.0,93.0,,,96.0,94.0,,,98.0,99.0,,,97.0,102.0
Sc 357.253 - A,% Concentration,102.0,101.0,,,102.0,101.0,,,99.0,101.0,,,100.0,97.0,,,100.0,100.0,,,99.0,99.0,,,95.0,95.0,,,97.0,96.0,,,88.0,89.0,,,88.0,89.0,,,87.0,87.0,,,89.0,89.0,,,87.0,90.0,,,90.0,90.0,,,90.0,89.0,,,91.0,92.0,,,94.0,97.0
Al 396.153 - A,0.0011,,,,,0.0052,0.0017,0.0035,0.0018,0.0186,0.0182,0.0184,0.0002,0.0343,0.043,0.0387,0.0044,0.0133,0.014,0.0137,0.0004,0.0358,0.0371,0.0365,0.0007,0.0238,0.0232,0.0235,0.0003,0.0571,0.0578,0.0575,0.0004,0.0094,0.0068,0.0081,0.0013,0.0115,0.0092,0.0104,0.0012,0.0196,0.0205,0.0201,0.0005,0.0499,0.0516,0.0508,0.0009,0.012,0.0101,0.0111,0.001,0.0545,0.0539,0.0542,0.0003,0.0098,0.0087,0.0093,0.0006,0.0352,0.035,0.0351,0.0001,,
As 188.979 - A,0.008,0.0092,0.0105,0.0099,0.0007,0.0086,,0.0086,0.0,0.0128,,0.0128,0.0,,,,,0.0115,,0.0115,0.0,,,,,0.015,0.0146,0.0148,0.0002,0.0182,,0.0182,0.0,0.0327,0.024,0.0284,0.0044,0.0424,0.042,0.0422,0.0002,0.0232,0.0201,0.0217,0.0016,0.0172,0.0146,0.0159,0.0013,0.0102,0.0164,0.0133,0.0031,0.0199,0.0156,0.0178,0.0022,0.0156,0.0113,0.0135,0.0022,0.022,0.0198,0.0209,0.0011,,
B 249.677 - R,0.0161,,0.021,0.021,0.0,,,,,,,,,0.0356,,0.0356,0.0,,,,,,,,,0.0678,,0.0678,0.0,0.03,0.042,0.036,0.006,0.0269,0.032,0.0295,0.0026,0.0188,0.021,0.0199,0.0011,0.037,0.0555,0.0463,0.0093,0.0222,0.0288,0.0255,0.0033,,0.017,0.017,0.0,0.0765,,0.0765,0.0,0.0464,0.0543,0.0504,0.004,0.0351,0.0381,0.0366,0.0015,0.0288,
Ba 233.527 - A,0.0003,0.0288,0.0295,0.0292,0.0004,0.0286,0.0289,0.0288,0.0001,0.0281,0.0275,0.0278,0.0003,0.0286,0.0295,0.0291,0.0004,0.0259,0.026,0.026,0.0,0.0263,0.0261,0.0262,0.0001,0.0248,0.0251,0.025,0.0002,0.024,0.0237,0.0239,0.0002,0.0006,0.0006,0.0006,0.0,,,,,0.0207,0.0211,0.0209,0.0002,0.0212,0.0204,0.0208,0.0004,0.0232,0.0226,0.0229,0.0003,0.0227,0.0223,0.0225,0.0002,0.0269,0.0273,0.0271,0.0002,0.0262,0.0257,0.026,0.0003,,
Be 313.107 - R,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 317.933 - A,0.0254,10.1887,10.0835,10.1361,0.0526,10.0473,10.0955,10.0714,0.0241,13.7122,13.6875,13.6999,0.0123,13.2072,13.801,13.5041,0.2969,16.6204,16.8439,16.7322,0.1118,16.253,16.4629,16.358,0.105,29.8814,30.0736,29.9775,0.0961,29.691,29.3562,29.5236,0.1674,340.2747,318.7453,329.51,10.7647,343.499,335.4121,339.4556,4.0435,91.4986,92.4338,91.9662,0.4676,95.7272,94.8045,95.2659,0.4613,94.1552,98.0296,96.0924,1.9372,97.3646,99.7208,98.5427,1.1781,67.5832,70.3754,68.9793,1.3961,70.5112,68.3122,69.4117,1.0995,,
Cd 214.440 - A,0.0006,0.0009,0.0006,0.0008,0.0002,0.0009,0.0009,0.0009,0.0,0.0013,0.0014,0.0014,0.0001,0.0016,0.0009,0.0013,0.0004,0.0014,0.0012,0.0013,0.0001,0.0013,0.0013,0.0013,0.0,0.0021,0.0016,0.0019,0.0003,0.0022,0.002,0.0021,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu 324.752 - A,0.0057,,,,,,,,,,,,,0.0061,0.0066,0.0064,0.0003,,,,,0.0077,0.0077,0.0077,0.0,0.0269,0.0266,0.0268,0.0002,0.034,0.0353,0.0347,0.0006,,,,,,,,,0.0213,0.0214,0.0214,0.0,0.028,0.0288,0.0284,0.0004,0.0108,0.0101,0.0105,0.0004,0.0192,0.0195,0.0194,0.0002,0.0084,0.0089,0.0087,0.0003,0.0091,0.0092,0.0092,0.0,,
